,,auc,auc,prc,prc
,,mean,std,mean,std
model,alpha,,,,
bscan_unified_bert,0.0,0.8457642605639852,0.01363790545582623,0.7221774435995763,0.018217158341749782
bscan_unified_bert,0.02,0.8467799829167195,0.01390313661237867,0.7321334868645951,0.02259666329083371
bscan_unified_bert,0.05,0.8470384892778066,0.013691062122568784,0.7323472185912563,0.022492404468978072
bscan_unified_bert,0.1,0.8474006825492122,0.013367178025406828,0.7327126013233817,0.022353402463684967
bscan_unified_bert,0.2,0.8478067866524815,0.012855033734243826,0.7333067102459733,0.022306542166128616
bscan_unified_ernie,0.0,0.8378186097565223,0.01624355451209533,0.720743349782505,0.020900106726679524
bscan_unified_ernie,0.02,0.8392026777550404,0.016675867771126236,0.7332805447615003,0.02581018744991184
bscan_unified_ernie,0.05,0.8396638125810814,0.01649907161287595,0.7336021485605347,0.02567582264697815
bscan_unified_ernie,0.1,0.8403278780108273,0.016204502407850273,0.734143678509638,0.025311289081933707
bscan_unified_ernie,0.2,0.8412476239156922,0.015804899951366587,0.7349303823721969,0.02487685235950976
bscan_unified_fm,0.0,0.8418042345871617,0.014259987779504164,0.7209748450912437,0.020844553801281814
bscan_unified_fm,0.02,0.8436728916728308,0.014960439815389252,0.7362269178952852,0.02545111101855846
bscan_unified_fm,0.05,0.843940349634963,0.014749202617491571,0.7365314368102778,0.025240214409158742
bscan_unified_fm,0.1,0.8443270102209393,0.014417926295782667,0.736854221215841,0.024929811631597833
bscan_unified_fm,0.2,0.8449031177283052,0.013920340205547313,0.7375461174665314,0.024488321795331204
bscan_unified_msm,0.0,0.844289225104152,0.01439737233389752,0.726582317610883,0.021306295377304153
bscan_unified_msm,0.02,0.8462149212466459,0.015137637749206387,0.7424838222412838,0.028262616834551887
bscan_unified_msm,0.05,0.8464658978361059,0.01496534805302816,0.7426951447080303,0.02810156157256461
bscan_unified_msm,0.1,0.8468506152552108,0.014706342910200924,0.7431015313741276,0.027837876104299247
bscan_unified_msm,0.2,0.8474926660261325,0.014292527926863245,0.7438229554839884,0.027571074463691
bscan_unified_onehot,0.0,0.57228951918587,0.021975190160062413,0.5202342437566916,0.012997581721185415
bscan_unified_onehot,0.02,0.5729032577785029,0.022141495475777175,0.5254740028847196,0.01603641894837091
bscan_unified_onehot,0.05,0.573172303450152,0.021954975711804957,0.5257919706649128,0.015945280061104496
bscan_unified_onehot,0.1,0.5735082935902389,0.021753209173738432,0.5261813325662364,0.015813991151837084
bscan_unified_onehot,0.2,0.5738813046138009,0.021677437283094333,0.5268110250147284,0.015760022209307913
