display,n_seeds,params,int_auc,int_auc_std,int_prc,int_mcc,ext_auc,ext_auc_std,ext_prc,ext_mcc,drop_pct,t2_auc,t2_auc_std,t3_auc,t3_auc_std,t3_dup_auc
BSCAN-RNAErnie,10,1986706.0,0.9168,0.0021,0.9394,0.7322,0.8378,0.0162,0.7207,0.6836,8.6199,0.4767,0.0292,0.492,0.0062,0.5328
BSCAN-RNAMSM,10,1986706.0,0.9167,0.0023,0.9388,0.738,0.8443,0.0144,0.7266,0.7125,7.9001,0.4497,0.0205,0.4943,0.0046,0.5096
BSCAN-RNA-FM,10,1970322.0,0.9167,0.0023,0.9392,0.733,0.8418,0.0143,0.721,0.6991,8.1691,0.4751,0.0193,0.4963,0.0017,0.5077
BSCAN-RNABERT,10,1903762.0,0.9164,0.002,0.939,0.7359,0.8458,0.0136,0.7222,0.6876,7.713,0.5688,0.0079,0.4963,0.0022,0.5022
BSCAN-onehot,10,,0.9164,0.0024,0.9366,0.7215,0.5723,0.022,0.5202,0.0382,37.553,,,,,
BSCAN-base,10,3884818.0,0.9009,0.0019,0.9247,0.6853,0.7204,0.021,0.6255,0.294,20.0378,0.7265,0.0699,0.5351,0.0221,
CircCNN,10,2624130.0,0.8983,0.0039,0.9223,0.6792,0.7041,0.0127,0.6151,0.253,21.613,0.7186,0.0509,0.5083,0.0052,
CircCNN-single,10,6604162.0,0.8942,0.0021,0.9173,0.6713,0.5392,0.0096,0.4992,-0.0118,39.7086,0.6711,0.0522,0.5357,0.0149,
CircCNN-tri,10,1701954.0,0.8892,0.0037,0.9133,0.6625,0.538,0.0091,0.4997,-0.0158,39.4929,0.7152,0.0442,0.5577,0.0198,
CircCNN-double,10,8440450.0,0.8878,0.005,0.911,0.6572,0.5092,0.0081,0.4802,-0.0466,42.6435,0.6574,0.0603,0.5133,0.0029,
DeepCircCode,10,884898.0,0.8765,0.0035,0.9031,0.6112,0.5556,0.0101,0.5082,0.0343,36.6078,0.6627,0.0049,0.5177,0.0025,
CircDC,10,226986.0,0.8619,0.0058,0.8961,0.6455,0.501,0.0072,0.4759,-0.0754,41.8667,0.6376,0.0201,0.5136,0.0019,
JEDI,10,2595462.0,0.8538,0.0028,0.8844,0.5916,0.4672,0.0049,0.4563,-0.0965,45.2792,0.5492,0.0088,0.503,0.003,
CircDeep,10,1200000.0,0.7899,0.0074,0.799,0.4537,0.494,0.0068,0.4927,-0.01,37.4549,,,,,
