display,group,int_auc,int_auc_std,ext_auc,ext_auc_std,int_ext_drop_pct,t2_auc,t2_auc_std,t3_auc,t3_auc_std,t3_auc_duplex,t2_t3_gap,t3_gap,t3_mcc
BSCAN-RNAErnie,BSCAN-FM,0.9168,0.0021,0.8378,0.0162,8.6199,0.4767,0.0292,0.492,0.0062,0.5328,-0.0153,-0.0007,0.0083
BSCAN-RNAMSM,BSCAN-FM,0.9167,0.0023,0.8443,0.0144,7.9001,0.4497,0.0205,0.4943,0.0046,0.5096,-0.0446,0.0001,-0.0076
BSCAN-RNA-FM,BSCAN-FM,0.9167,0.0023,0.8418,0.0143,8.1691,0.4751,0.0193,0.4963,0.0017,0.5077,-0.0212,-0.0023,0.0
BSCAN-RNABERT,BSCAN-FM,0.9164,0.002,0.8458,0.0136,7.713,0.5688,0.0079,0.4963,0.0022,0.5022,0.0726,-0.006,-0.0286
BSCAN-FM+CNN,BSCAN-FM,0.9131,0.0022,,,,0.5122,0.0357,0.4963,0.0083,0.499,0.0159,-0.0039,-0.0026
BSCAN-onehot,BSCAN,0.9164,0.0024,0.5723,0.022,37.553,,,,,,,,
BSCAN-base,BSCAN,0.9009,0.0019,,,,,,0.523,0.0058,,,0.0162,0.0195
CircCNN,Baseline,0.8983,0.0039,0.7041,0.0127,21.613,,,0.5083,0.0052,,,-0.0006,0.0
CircCNN-single,Baseline,0.8942,0.0021,0.5392,0.0096,39.7086,0.6711,0.0522,0.5357,0.0149,,0.1354,0.0065,-0.0263
CircCNN-tri,Baseline,0.8892,0.0037,0.538,0.0091,39.4929,0.7152,0.0442,0.5577,0.0198,,0.1575,0.0306,0.0243
CircCNN-double,Baseline,0.8878,0.005,0.5092,0.0081,42.6435,,,0.5133,0.0029,,,0.024,0.0304
DeepCircCode,Baseline,0.8765,0.0035,0.5556,0.0101,36.6078,0.6627,0.0049,0.5177,0.0025,,0.145,-0.0128,-0.0662
CircDC,Baseline,0.8619,0.0058,0.501,0.0072,41.8667,,,0.5136,0.0019,,,0.0062,-0.0001
JEDI,Baseline,0.8538,0.0028,0.4672,0.0049,45.2792,,,0.503,0.003,,,0.0006,0.0003
CircDeep,Baseline,0.7899,0.0074,0.494,0.0068,37.4549,,,,,,,,
